"/target/f3d/wrench/force/y_x","/target/f3d/wrench/force/y_y","/target/f3d/wrench/force/x_y","/target/f3d/wrench/force/z_y"
122.308,0,0,0,
122.309,0,0,0,
122.31,0,0,0,
122.311,0,0,0,
122.312,0,0,0,
122.313,0,0,0,
122.314,0,0,0,
122.315,0,0,0,
122.316,0,0,0,
122.317,0,0,0,
122.318,0,0,0,
122.319,0,0,0,
122.32,0,0,0,
122.321,0,0,0,
122.322,0,0,0,
122.323,0,0,0,
122.324,0,0,0,
122.325,0,0,0,
122.326,0,0,0,
122.327,0,0,0,
122.328,0,0,0,
122.329,0,0,0,
122.33,0,0,0,
122.331,0,0,0,
122.332,0,0,0,
122.333,0,0,0,
122.334,0,0,0,
122.335,0,0,0,
122.336,0,0,0,
122.337,0,0,0,
122.338,0,0,0,
122.339,0,0,0,
122.34,0,0,0,
122.341,0,0,0,
122.342,0,0,0,
122.343,0,0,0,
122.344,0,0,0,
122.345,0,0,0,
122.346,0,0,0,
122.347,0,0,0,
122.348,0,0,0,
122.349,0,0,0,
122.35,0,0,0,
122.351,0,0,0,
122.352,0,0,0,
122.353,0,0,0,
122.354,0,0,0,
122.355,0,0,0,
122.356,0,0,0,
122.357,0,0,0,
122.358,0,0,0,
122.359,0,0,0,
122.36,0,0,0,
122.361,0,0,0,
122.362,0,0,0,
122.363,0,0,0,
122.364,0,0,0,
122.365,0,0,0,
122.366,0,0,0,
122.367,0,0,0,
122.368,0,0,0,
122.369,0,0,0,
122.37,0,0,0,
122.371,0,0,0,
122.372,0,0,0,
122.373,0,0,0,
122.374,0,0,0,
122.375,0,0,0,
122.376,0,0,0,
122.377,0,0,0,
122.378,0,0,0,
122.379,0,0,0,
122.38,0,0,0,
122.381,0,0,0,
122.382,0,0,0,
122.383,0,0,0,
122.384,0,0,0,
122.385,0,0,0,
122.386,0,0,0,
122.387,0,0,0,
122.388,0,0,0,
122.389,0,0,0,
122.39,0,0,0,
122.391,0,0,0,
122.392,0,0,0,
122.393,0,0,0,
122.394,0,0,0,
122.395,0,0,0,
122.396,0,0,0,
122.397,0,0,0,
122.398,0,0,0,
122.399,0,0,0,
122.4,0,0,0,
122.401,0,0,0,
122.402,0,0,0,
122.403,0,0,0,
122.404,0,0,0,
122.405,0,0,0,
122.406,0,0,0,
122.407,0,0,0,
122.408,0,0,0,
122.409,0,0,0,
122.41,0,0,0,
122.411,0,0,0,
122.412,0,0,0,
122.413,0,0,0,
122.414,0,0,0,
122.415,0,0,0,
122.416,0,0,0,
122.417,0,0,0,
122.418,0,0,0,
122.419,0,0,0,
122.42,0,0,0,
122.421,0,0,0,
122.422,0,0,0,
122.423,0,0,0,
122.424,0,0,0,
122.425,0,0,0,
122.426,0,0,0,
122.427,0,0,0,
122.428,0,0,0,
122.429,0,0,0,
122.43,0,0,0,
122.431,0,0,0,
122.432,0,0,0,
122.433,0,0,0,
122.434,0,0,0,
122.435,0,0,0,
122.436,0,0,0,
122.437,0,0,0,
122.438,0,0,0,
122.439,0,0,0,
122.44,0,0,0,
122.441,0,0,0,
122.442,0,0,0,
122.443,0,0,0,
122.444,0,0,0,
122.445,0,0,0,
122.446,0,0,0,
122.447,0,0,0,
122.448,0,0,0,
122.449,0,0,0,
122.45,0,0,0,
122.451,0,0,0,
122.452,0,0,0,
122.453,0,0,0,
122.454,0,0,0,
122.455,0,0,0,
122.456,0,0,0,
122.457,0,0,0,
122.458,0,0,0,
122.459,0,0,0,
122.46,0,0,0,
122.461,0,0,0,
122.462,0,0,0,
122.463,0,0,0,
122.465,0,0,0,
122.466,0,0,0,
122.467,0,0,0,
122.468,0,0,0,
122.469,0,0,0,
122.47,0,0,0,
122.471,0,0,0,
122.472,0,0,0,
122.473,0,0,0,
122.474,0,0,0,
122.475,0,0,0,
122.476,0,0,0,
122.477,0,0,0,
122.478,0,0,0,
122.479,0,0,0,
122.48,0,0,0,
122.481,0,0,0,
122.482,0,0,0,
122.483,0,0,0,
122.484,0,0,0,
122.485,0,0,0,
122.486,0,0,0,
122.487,0,0,0,
122.488,0,0,0,
122.489,0,0,0,
122.49,0,0,0,
122.491,0,0,0,
122.492,0,0,0,
122.493,0,0,0,
122.494,0,0,0,
122.495,0,0,0,
122.496,0,0,0,
122.497,0,0,0,
122.498,0,0,0,
122.499,0,0,0,
122.5,0,0,0,
122.501,0,0,0,
122.502,0,0,0,
122.503,0,0,0,
122.504,0,0,0,
122.505,0,0,0,
122.506,0,0,0,
122.507,0,0,0,
122.508,0,0,0,
122.509,0,0,0,
122.51,0,0,0,
122.511,0,0,0,
122.512,0,0,0,
122.513,0,0,0,
122.514,0,0,0,
122.515,0,0,0,
122.516,0,0,0,
122.517,0,0,0,
122.518,0,0,0,
122.519,0,0,0,
122.52,0,0,0,
122.521,0,0,0,
122.522,0,0,0,
122.523,0,0,0,
122.524,0,0,0,
122.525,0,0,0,
122.526,0,0,0,
122.527,0,0,0,
122.528,0,0,0,
122.529,0,0,0,
122.53,0,0,0,
122.531,0,0,0,
122.532,0,0,0,
122.533,0,0,0,
122.534,0,0,0,
122.535,0,0,0,
122.536,0,0,0,
122.537,0,0,0,
122.538,0,0,0,
122.539,0,0,0,
122.54,0,0,0,
122.541,0,0,0,
122.542,0,0,0,
122.543,0,0,0,
122.544,0,0,0,
122.545,0,0,0,
122.546,0,0,0,
122.547,0,0,0,
122.548,0,0,0,
122.549,0,0,0,
122.55,0,0,0,
122.551,0,0,0,
122.552,0,0,0,
122.553,0,0,0,
122.555,0,0,0,
122.556,0,0,0,
122.557,0,0,0,
122.558,0,0,0,
122.559,0,0,0,
122.56,0,0,0,
122.561,0,0,0,
122.562,0,0,0,
122.563,0,0,0,
122.564,0,0,0,
122.565,0,0,0,
122.566,0,0,0,
122.567,0,0,0,
122.568,0,0,0,
122.569,0,0,0,
122.57,0,0,0,
122.571,0,0,0,
122.572,0,0,0,
122.573,0,0,0,
122.574,0,0,0,
122.575,0,0,0,
122.576,0,0,0,
122.577,0,0,0,
122.578,0,0,0,
122.579,0,0,0,
122.58,0,0,0,
122.581,0,0,0,
122.582,0,0,0,
122.583,0,0,0,
122.584,0,0,0,
122.585,0,0,0,
122.586,0,0,0,
122.587,0,0,0,
122.588,0,0,0,
122.589,0,0,0,
122.59,0,0,0,
122.591,0,0,0,
122.592,0,0,0,
122.593,0,0,0,
122.594,0,0,0,
122.595,0,0,0,
122.596,0,0,0,
122.597,0,0,0,
122.598,0,0,0,
122.599,0,0,0,
122.6,0,0,0,
122.601,0,0,0,
122.602,0,0,0,
122.603,0,0,0,
122.604,0,0,0,
122.605,0,0,0,
122.606,0,0,0,
122.607,0,0,0,
122.608,0,0,0,
122.609,0,0,0,
122.61,0,0,0,
122.611,0,0,0,
122.612,0,0,0,
122.613,0,0,0,
122.614,0,0,0,
122.615,0,0,0,
122.616,0,0,0,
122.617,0,0,0,
122.618,0,0,0,
122.619,0,0,0,
122.62,0,0,0,
122.622,0,0,0,
122.623,0,0,0,
122.624,0,0,0,
122.625,0,0,0,
122.626,0,0,0,
122.627,0,0,0,
122.628,0,0,0,
122.629,0,0,0,
122.63,0,0,0,
122.631,0,0,0,
122.632,0,0,0,
122.633,0,0,0,
122.634,0,0,0,
122.635,0,0,0,
122.636,0,0,0,
122.637,0,0,0,
122.638,0,0,0,
122.639,0,0,0,
122.64,0,0,0,
122.641,0,0,0,
122.642,0,0,0,
122.643,0,0,0,
122.644,0,0,0,
122.645,0,0,0,
122.646,0,0,0,
122.647,0,0,0,
122.648,0,0,0,
122.649,0,0,0,
122.65,0,0,0,
122.651,0,0,0,
122.652,0,0,0,
122.653,0,0,0,
122.654,0,0,0,
122.655,0,0,0,
122.656,0,0,0,
122.657,0,0,0,
122.658,0,0,0,
122.659,0,0,0,
122.66,0,0,0,
122.661,0,0,0,
122.662,0,0,0,
122.663,0,0,0,
122.664,0,0,0,
122.665,0,0,0,
122.666,0,0,0,
122.667,0,0,0,
122.668,0,0,0,
122.669,0,0,0,
122.67,0,0,0,
122.671,0,0,0,
122.672,0,0,0,
122.673,0,0,0,
122.674,0,0,0,
122.675,0,0,0,
122.676,0,0,0,
122.677,0,0,0,
122.678,0,0,0,
122.679,0,0,0,
122.68,0,0,0,
122.681,0,0,0,
122.682,0,0,0,
122.683,0,0,0,
122.684,0,0,0,
122.685,0,0,0,
122.686,0,0,0,
122.687,0,0,0,
122.688,0,0,0,
122.689,0,0,0,
122.69,0,0,0,
122.691,0,0,0,
122.692,0,0,0,
122.693,0,0,0,
122.694,0,0,0,
122.695,0,0,0,
122.696,0,0,0,
122.697,0,0,0,
122.698,0,0,0,
122.699,0,0,0,
122.7,0,0,0,
122.701,0,0,0,
122.702,0,0,0,
122.703,0,0,0,
122.704,0,0,0,
122.705,0,0,0,
122.706,0,0,0,
122.707,0,0,0,
122.708,0,0,0,
122.709,0,0,0,
122.71,0,0,0,
122.711,0,0,0,
122.712,0,0,0,
122.713,0,0,0,
122.714,0,0,0,
122.715,0,0,0,
122.716,0,0,0,
122.717,0,0,0,
122.718,0,0,0,
122.719,0,0,0,
122.72,0,0,0,
122.721,0,0,0,
122.722,0,0,0,
122.723,0,0,0,
122.724,0,0,0,
122.725,0,0,0,
122.726,0,0,0,
122.727,0,0,0,
122.728,0,0,0,
122.729,0,0,0,
122.73,0,0,0,
122.731,0,0,0,
122.732,0,0,0,
122.733,0,0,0,
122.734,0,0,0,
122.735,0,0,0,
122.736,0,0,0,
122.737,0,0,0,
122.738,0,0,0,
122.739,0,0,0,
122.74,0,0,0,
122.741,0,0,0,
122.742,0,0,0,
122.743,0,0,0,
122.744,0,0,0,
122.745,0,0,0,
122.746,0,0,0,
122.747,0,0,0,
122.748,0,0,0,
122.749,0,0,0,
122.75,0,0,0,
122.751,0,0,0,
122.752,0,0,0,
122.753,0,0,0,
122.754,0,0,0,
122.755,0,0,0,
122.756,0,0,0,
122.758,0,0,0,
122.759,0,0,0,
122.76,0,0,0,
122.761,0,0,0,
122.762,0,0,0,
122.763,0,0,0,
122.764,0,0,0,
122.765,0,0,0,
122.766,0,0,0,
122.767,0,0,0,
122.768,0,0,0,
122.769,0,0,0,
122.77,0,0,0,
122.771,0,0,0,
122.772,0,0,0,
122.773,0,0,0,
122.774,0,0,0,
122.775,0,0,0,
122.776,0,0,0,
122.777,0,0,0,
122.778,0,0,0,
122.779,0,0,0,
122.78,0,0,0,
122.781,0,0,0,
122.782,0,0,0,
122.783,0,0,0,
122.784,0,0,0,
122.785,0,0,0,
122.786,0,0,0,
122.787,0,0,0,
122.788,0,0,0,
122.789,0,0,0,
122.79,0,0,0,
122.791,0,0,0,
122.792,0,0,0,
122.793,0,0,0,
122.794,0,0,0,
122.795,0,0,0,
122.796,0,0,0,
122.797,0,0,0,
122.798,0,0,0,
122.799,0,0,0,
122.8,0,0,0,
122.801,0,0,0,
122.802,0,0,0,
122.803,0,0,0,
122.804,0,0,0,
122.805,0,0,0,
122.806,0,0,0,
122.807,0,0,0,
122.808,0,0,0,
122.809,0,0,0,
122.81,0,0,0,
122.811,0,0,0,
122.812,0,0,0,
122.813,0,0,0,
122.814,0,0,0,
122.815,0,0,0,
122.816,0,0,0,
122.817,0,0,0,
122.818,0,0,0,
122.819,0,0,0,
122.82,0,0,0,
122.821,0,0,0,
122.822,0,0,0,
122.823,0,0,0,
122.824,0,0,0,
122.825,0,0,0,
122.826,0,0,0,
122.827,0,0,0,
122.828,0,0,0,
122.829,0,0,0,
122.83,0,0,0,
122.831,0,0,0,
122.832,0,0,0,
122.833,0,0,0,
122.834,0,0,0,
122.835,0,0,0,
122.836,0,0,0,
122.837,0,0,0,
122.838,0,0,0,
122.839,0,0,0,
122.84,0,0,0,
122.841,0,0,0,
122.842,0,0,0,
122.843,0,0,0,
122.844,0,0,0,
122.845,0,0,0,
122.846,0,0,0,
122.847,0,0,0,
122.848,0,0,0,
122.849,0,0,0,
122.85,0,0,0,
122.851,0,0,0,
122.852,0,0,0,
122.853,0,0,0,
122.854,0,0,0,
122.855,0,0,0,
122.856,0,0,0,
122.857,0,0,0,
122.858,0,0,0,
122.859,0,0,0,
122.86,0,0,0,
122.861,0,0,0,
122.862,0,0,0,
122.863,0,0,0,
122.864,0,0,0,
122.865,0,0,0,
122.866,0,0,0,
122.867,0,0,0,
122.868,0,0,0,
122.869,0,0,0,
122.87,0,0,0,
122.871,0,0,0,
122.872,0,0,0,
122.873,0,0,0,
122.874,0,0,0,
122.875,0,0,0,
122.876,0,0,0,
122.877,0,0,0,
122.878,0,0,0,
122.879,0,0,0,
122.88,0,0,0,
122.881,0,0,0,
122.882,0,0,0,
122.883,0,0,0,
122.884,0,0,0,
122.885,0,0,0,
122.886,0,0,0,
122.887,0,0,0,
122.888,0,0,0,
122.889,0,0,0,
122.89,0,0,0,
122.891,0,0,0,
122.892,0,0,0,
122.893,0,0,0,
122.894,0,0,0,
122.895,0,0,0,
122.896,0,0,0,
122.897,0,0,0,
122.898,0,0,0,
122.899,0,0,0,
122.9,0,0,0,
122.901,0,0,0,
122.902,0,0,0,
122.903,0,0,0,
122.904,0,0,0,
122.905,0,0,0,
122.906,0,0,0,
122.907,0,0,0,
122.908,0,0,0,
122.909,0,0,0,
122.91,0,0,0,
122.911,0,0,0,
122.912,0,0,0,
122.913,0,0,0,
122.914,0,0,0,
122.915,0,0,0,
122.916,0,0,0,
122.917,0,0,0,
122.918,0,0,0,
122.919,0,0,0,
122.92,0,0,0,
122.921,0,0,0,
122.922,0,0,0,
122.923,0,0,0,
122.924,0,0,0,
122.925,0,0,0,
122.926,0,0,0,
122.927,0,0,0,
122.928,0,0,0,
122.929,0,0,0,
122.93,0,0,0,
122.931,0,0,0,
122.932,0,0,0,
122.933,0,0,0,
122.934,0,0,0,
122.935,0,0,0,
122.936,0,0,0,
122.937,0,0,0,
122.938,0,0,0,
122.939,0,0,0,
122.94,0,0,0,
122.941,0,0,0,
122.942,0,0,0,
122.943,0,0,0,
122.944,0,0,0,
122.945,0,0,0,
122.946,0,0,0,
122.947,0,0,0,
122.948,0,0,0,
122.949,0,0,0,
122.95,0,0,0,
122.951,0,0,0,
122.952,0,0,0,
122.953,0,0,0,
122.954,0,0,0,
122.955,0,0,0,
122.956,0,0,0,
122.957,0,0,0,
122.958,0,0,0,
122.959,0,0,0,
122.96,0,0,0,
122.961,0,0,0,
122.962,0,0,0,
122.963,0,0,0,
122.964,0,0,0,
122.965,0,0,0,
122.966,0,0,0,
122.967,0,0,0,
122.968,0,0,0,
122.969,0,0,0,
122.97,0,0,0,
122.971,0,0,0,
122.972,0,0,0,
122.973,0,0,0,
122.974,0,0,0,
122.975,0,0,0,
122.976,0,0,0,
122.977,0,0,0,
122.978,0,0,0,
122.979,0,0,0,
122.98,0,0,0,
122.981,0,0,0,
122.982,0,0,0,
122.983,0,0,0,
122.984,0,0,0,
122.985,0,0,0,
122.986,0,0,0,
122.987,0,0,0,
122.988,0,0,0,
122.989,0,0,0,
122.99,0,0,0,
122.991,0,0,0,
122.992,0,0,0,
122.993,0,0,0,
122.994,0,0,0,
122.995,0,0,0,
122.996,0,0,0,
122.997,0,0,0,
122.998,0,0,0,
122.999,0,0,0,
123,0,0,0,
123.001,0,0,0,
123.002,0,0,0,
123.003,0,0,0,
123.004,0,0,0,
123.005,0,0,0,
123.006,0,0,0,
123.007,0,0,0,
123.008,0,0,0,
123.009,0,0,0,
123.01,0,0,0,
123.011,0,0,0,
123.012,0,0,0,
123.013,0,0,0,
123.014,0,0,0,
123.015,0,0,0,
123.016,0,0,0,
123.017,0,0,0,
123.018,0,0,0,
123.019,0,0,0,
123.02,0,0,0,
123.021,0,0,0,
123.022,0,0,0,
123.023,0,0,0,
123.024,0,0,0,
123.025,0,0,0,
123.026,0,0,0,
123.027,0,0,0,
123.028,0,0,0,
123.029,0,0,0,
123.03,0,0,0,
123.031,0,0,0,
123.032,0,0,0,
123.033,0,0,0,
123.034,0,0,0,
123.035,0,0,0,
123.036,0,0,0,
123.037,0,0,0,
123.038,0,0,0,
123.039,0,0,0,
123.04,0,0,0,
123.041,0,0,0,
123.042,0,0,0,
123.043,0,0,0,
123.044,0,0,0,
123.045,0,0,0,
123.046,0,0,0,
123.047,0,0,0,
123.048,0,0,0,
123.049,0,0,0,
123.05,0,0,0,
123.051,0,0,0,
123.052,0,0,0,
123.053,0,0,0,
123.054,0,0,0,
123.055,0,0,0,
123.056,0,0,0,
123.057,0,0,0,
123.058,0,0,0,
123.059,0,0,0,
123.06,0,0,0,
123.061,0,0,0,
123.062,0,0,0,
123.063,0,0,0,
123.064,0,0,0,
123.065,0,0,0,
123.066,0,0,0,
123.067,0,0,0,
123.068,0,0,0,
123.069,0,0,0,
123.07,0,0,0,
123.071,0,0,0,
123.072,0,0,0,
123.073,0,0,0,
123.074,0,0,0,
123.075,0,0,0,
123.076,0,0,0,
123.077,0,0,0,
123.078,0,0,0,
123.079,0,0,0,
123.08,0,0,0,
123.081,0,0,0,
123.082,0,0,0,
123.083,0,0,0,
123.084,0,0,0,
123.085,0,0,0,
123.086,0,0,0,
123.087,0,0,0,
123.088,0,0,0,
123.089,0,0,0,
123.09,0,0,0,
123.091,0,0,0,
123.092,0,0,0,
123.093,0,0,0,
123.094,0,0,0,
123.095,0,0,0,
123.096,0,0,0,
123.097,0,0,0,
123.098,0,0,0,
123.099,0,0,0,
123.1,0,0,0,
123.101,0,0,0,
123.102,0,0,0,
123.103,0,0,0,
123.104,0,0,0,
123.105,0,0,0,
123.106,0,0,0,
123.107,0,0,0,
123.108,0,0,0,
123.109,0,0,0,
123.11,0,0,0,
123.111,0,0,0,
123.112,0,0,0,
123.113,0,0,0,
123.114,0,0,0,
123.115,0,0,0,
123.116,0,0,0,
123.117,0,0,0,
123.118,0,0,0,
123.119,0,0,0,
123.12,0,0,0,
123.121,0,0,0,
123.122,0,0,0,
123.123,0,0,0,
123.124,0,0,0,
123.125,0,0,0,
123.126,0,0,0,
123.127,0,0,0,
123.128,0,0,0,
123.129,0,0,0,
123.13,0,0,0,
123.131,0,0,0,
123.132,0,0,0,
123.133,0,0,0,
123.134,0,0,0,
123.135,0,0,0,
123.136,0,0,0,
123.137,0,0,0,
123.138,0,0,0,
123.139,0,0,0,
123.14,0,0,0,
123.141,0,0,0,
123.142,0,0,0,
123.143,0,0,0,
123.144,0,0,0,
123.145,0,0,0,
123.146,0,0,0,
123.147,0,0,0,
123.148,0,0,0,
123.149,0,0,0,
123.15,0,0,0,
123.151,0,0,0,
123.152,0,0,0,
123.153,0,0,0,
123.154,0,0,0,
123.155,0,0,0,
123.156,0,0,0,
123.157,0,0,0,
123.158,0,0,0,
123.159,0,0,0,
123.16,0,0,0,
123.161,0,0,0,
123.162,0,0,0,
123.163,0,0,0,
123.164,0,0,0,
123.165,0,0,0,
123.166,0,0,0,
123.167,0,0,0,
123.168,0,0,0,
123.169,0,0,0,
123.17,0,0,0,
123.171,0,0,0,
123.172,0,0,0,
123.173,0,0,0,
123.174,0,0,0,
123.175,0,0,0,
123.176,0,0,0,
123.177,0,0,0,
123.178,0,0,0,
123.179,0,0,0,
123.18,0,0,0,
123.181,0,0,0,
123.182,0,0,0,
123.183,0,0,0,
123.184,0,0,0,
123.185,0,0,0,
123.186,0,0,0,
123.187,0,0,0,
123.188,0,0,0,
123.189,0,0,0,
123.19,0,0,0,
123.191,0,0,0,
123.192,0,0,0,
123.193,0,0,0,
123.194,0,0,0,
123.195,0,0,0,
123.196,0,0,0,
123.197,0,0,0,
123.198,0,0,0,
123.199,0,0,0,
123.2,0,0,0,
123.201,0,0,0,
123.202,0,0,0,
123.203,0,0,0,
123.204,0,0,0,
123.205,0,0,0,
123.206,0,0,0,
123.207,0,0,0,
123.208,0,0,0,
123.209,0,0,0,
123.21,0,0,0,
123.211,0,0,0,
123.212,0,0,0,
123.213,0,0,0,
123.214,0,0,0,
123.215,0,0,0,
123.216,0,0,0,
123.217,0,0,0,
123.22,0,0,0,
123.221,0,0,0,
123.222,0,0,0,
123.223,0,0,0,
123.224,0,0,0,
123.225,0,0,0,
